Original Filename	Sample Name	Component Name	Mass Info	Area
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 195)	E. std 62.5uM glu 6.25uM PEP	Lactate 89/89	89.0 / 89.0	11867.05
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 195)	E. std 62.5uM glu 6.25uM PEP	Lactate 90/90	90.0 / 90.0	750.162499999995
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 195)	E. std 62.5uM glu 6.25uM PEP	Lactate 91/91	91.0 / 91.0	1305.25
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 195)	E. std 62.5uM glu 6.25uM PEP	Lactate 92/92	92.0 / 92.0	359.999999999999
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 196)	F. std 31.25uM glu 3.13uM PEP	taurine	124.0 / 80.0	135.0375
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 196)	F. std 31.25uM glu 3.13uM PEP	D4-taurine	128.0 / 80.0	195413.1875
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 196)	F. std 31.25uM glu 3.13uM PEP	Pyruvate 87/87	87.0 / 87.0	47809.1640324789
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 196)	F. std 31.25uM glu 3.13uM PEP	Pyruvate 88/88	88.0 / 88.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 196)	F. std 31.25uM glu 3.13uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 196)	F. std 31.25uM glu 3.13uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 196)	F. std 31.25uM glu 3.13uM PEP	Lactate 89/89	89.0 / 89.0	5475.88749999999
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 196)	F. std 31.25uM glu 3.13uM PEP	Lactate 90/90	90.0 / 90.0	712.6625
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 196)	F. std 31.25uM glu 3.13uM PEP	Lactate 91/91	91.0 / 91.0	1470.275
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 196)	F. std 31.25uM glu 3.13uM PEP	Lactate 92/92	92.0 / 92.0	360.0375
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 197)	G. std 15.63uM glu 1.57uM PEP	taurine	124.0 / 80.0	75.0125000000001
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 197)	G. std 15.63uM glu 1.57uM PEP	D4-taurine	128.0 / 80.0	192834.75
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 197)	G. std 15.63uM glu 1.57uM PEP	Pyruvate 87/87	87.0 / 87.0	20661.0590471008
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 197)	G. std 15.63uM glu 1.57uM PEP	Pyruvate 88/88	88.0 / 88.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 197)	G. std 15.63uM glu 1.57uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 197)	G. std 15.63uM glu 1.57uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 197)	G. std 15.63uM glu 1.57uM PEP	Lactate 89/89	89.0 / 89.0	4035.75
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 197)	G. std 15.63uM glu 1.57uM PEP	Lactate 90/90	90.0 / 90.0	1035.3
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 197)	G. std 15.63uM glu 1.57uM PEP	Lactate 91/91	91.0 / 91.0	1027.6375
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 197)	G. std 15.63uM glu 1.57uM PEP	Lactate 92/92	92.0 / 92.0	315.149999999999
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 198)	H. std 0	taurine	124.0 / 80.0	135.0125
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 198)	H. std 0	D4-taurine	128.0 / 80.0	199510.1125
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 198)	H. std 0	Pyruvate 87/87	87.0 / 87.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 198)	H. std 0	Pyruvate 88/88	88.0 / 88.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 198)	H. std 0	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 198)	H. std 0	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 198)	H. std 0	Lactate 89/89	89.0 / 89.0	3420.6625
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 198)	H. std 0	Lactate 90/90	90.0 / 90.0	555.025
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 198)	H. std 0	Lactate 91/91	91.0 / 91.0	945.1375
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 198)	H. std 0	Lactate 92/92	92.0 / 92.0	300.037499999999
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 199)	A. std 1mm glu 100uM PEP	taurine	124.0 / 80.0	120.024999999999
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 199)	A. std 1mm glu 100uM PEP	D4-taurine	128.0 / 80.0	143604.6625
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 199)	A. std 1mm glu 100uM PEP	Pyruvate 87/87	87.0 / 87.0	683456.056318593
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 199)	A. std 1mm glu 100uM PEP	Pyruvate 88/88	88.0 / 88.0	26778.2215412954
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 199)	A. std 1mm glu 100uM PEP	Pyruvate 89/89	89.0 / 89.0	5978.7899566486
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 199)	A. std 1mm glu 100uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 199)	A. std 1mm glu 100uM PEP	Lactate 89/89	89.0 / 89.0	5415.65
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 199)	A. std 1mm glu 100uM PEP	Lactate 90/90	90.0 / 90.0	892.65
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 199)	A. std 1mm glu 100uM PEP	Lactate 91/91	91.0 / 91.0	1635.3
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 199)	A. std 1mm glu 100uM PEP	Lactate 92/92	92.0 / 92.0	322.525
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 200)	B. std 500uM glu 50uM PEP	taurine	124.0 / 80.0	90.025
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 200)	B. std 500uM glu 50uM PEP	D4-taurine	128.0 / 80.0	209734.1625
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 200)	B. std 500uM glu 50uM PEP	Pyruvate 87/87	87.0 / 87.0	337851.573689473
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 200)	B. std 500uM glu 50uM PEP	Pyruvate 88/88	88.0 / 88.0	11659.2930408034
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 200)	B. std 500uM glu 50uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 200)	B. std 500uM glu 50uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 200)	B. std 500uM glu 50uM PEP	Lactate 89/89	89.0 / 89.0	46552.4125
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 200)	B. std 500uM glu 50uM PEP	Lactate 90/90	90.0 / 90.0	2858.0625
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 200)	B. std 500uM glu 50uM PEP	Lactate 91/91	91.0 / 91.0	2017.925
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 200)	B. std 500uM glu 50uM PEP	Lactate 92/92	92.0 / 92.0	300.05
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 201)	C. std 250uM glu 25uM PEP	taurine	124.0 / 80.0	120.0125
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 201)	C. std 250uM glu 25uM PEP	D4-taurine	128.0 / 80.0	209043.3
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 201)	C. std 250uM glu 25uM PEP	Pyruvate 87/87	87.0 / 87.0	217105.125
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 201)	C. std 250uM glu 25uM PEP	Pyruvate 88/88	88.0 / 88.0	7731.48645070102
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 201)	C. std 250uM glu 25uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 201)	C. std 250uM glu 25uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 201)	C. std 250uM glu 25uM PEP	Lactate 89/89	89.0 / 89.0	4365.775
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 201)	C. std 250uM glu 25uM PEP	Lactate 90/90	90.0 / 90.0	299.999999999999
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 201)	C. std 250uM glu 25uM PEP	Lactate 91/91	91.0 / 91.0	1110.2375
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 201)	C. std 250uM glu 25uM PEP	Lactate 92/92	92.0 / 92.0	315.050000000001
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 202)	D. std 125uM glu 12.5uM PEP	taurine	124.0 / 80.0	59.9999999999999
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 202)	D. std 125uM glu 12.5uM PEP	D4-taurine	128.0 / 80.0	213146.4
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 202)	D. std 125uM glu 12.5uM PEP	Pyruvate 87/87	87.0 / 87.0	144502.8125
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 202)	D. std 125uM glu 12.5uM PEP	Pyruvate 88/88	88.0 / 88.0	4996.94063281045
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 202)	D. std 125uM glu 12.5uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 202)	D. std 125uM glu 12.5uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 202)	D. std 125uM glu 12.5uM PEP	Lactate 89/89	89.0 / 89.0	5985.75
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 202)	D. std 125uM glu 12.5uM PEP	Lactate 90/90	90.0 / 90.0	375.112499999999
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 202)	D. std 125uM glu 12.5uM PEP	Lactate 91/91	91.0 / 91.0	1305.525
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 202)	D. std 125uM glu 12.5uM PEP	Lactate 92/92	92.0 / 92.0	240.0625
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 203)	E. std 62.5uM glu 6.25uM PEP	taurine	124.0 / 80.0	90.0249999999999
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 203)	E. std 62.5uM glu 6.25uM PEP	D4-taurine	128.0 / 80.0	204540.925
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 203)	E. std 62.5uM glu 6.25uM PEP	Pyruvate 87/87	87.0 / 87.0	80611.9468364499
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 203)	E. std 62.5uM glu 6.25uM PEP	Pyruvate 88/88	88.0 / 88.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 203)	E. std 62.5uM glu 6.25uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 203)	E. std 62.5uM glu 6.25uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 203)	E. std 62.5uM glu 6.25uM PEP	Lactate 89/89	89.0 / 89.0	4246.03750000001
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 203)	E. std 62.5uM glu 6.25uM PEP	Lactate 90/90	90.0 / 90.0	525.1375
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 203)	E. std 62.5uM glu 6.25uM PEP	Lactate 91/91	91.0 / 91.0	1110.125
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 203)	E. std 62.5uM glu 6.25uM PEP	Lactate 92/92	92.0 / 92.0	540.050000000001
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 204)	F. std 31.25uM glu 3.13uM PEP	taurine	124.0 / 80.0	105.0375
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 204)	F. std 31.25uM glu 3.13uM PEP	D4-taurine	128.0 / 80.0	208921.9875
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 204)	F. std 31.25uM glu 3.13uM PEP	Pyruvate 87/87	87.0 / 87.0	44347.4701755163
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 204)	F. std 31.25uM glu 3.13uM PEP	Pyruvate 88/88	88.0 / 88.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 204)	F. std 31.25uM glu 3.13uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 204)	F. std 31.25uM glu 3.13uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 204)	F. std 31.25uM glu 3.13uM PEP	Lactate 89/89	89.0 / 89.0	7621.9375
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 204)	F. std 31.25uM glu 3.13uM PEP	Lactate 90/90	90.0 / 90.0	675.1
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 204)	F. std 31.25uM glu 3.13uM PEP	Lactate 91/91	91.0 / 91.0	1065
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 204)	F. std 31.25uM glu 3.13uM PEP	Lactate 92/92	92.0 / 92.0	375
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 205)	G. std 15.63uM glu 1.57uM PEP	taurine	124.0 / 80.0	90.0125
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 205)	G. std 15.63uM glu 1.57uM PEP	D4-taurine	128.0 / 80.0	210943.1
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 205)	G. std 15.63uM glu 1.57uM PEP	Pyruvate 87/87	87.0 / 87.0	33059.9246321275
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 205)	G. std 15.63uM glu 1.57uM PEP	Pyruvate 88/88	88.0 / 88.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 205)	G. std 15.63uM glu 1.57uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 205)	G. std 15.63uM glu 1.57uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 205)	G. std 15.63uM glu 1.57uM PEP	Lactate 89/89	89.0 / 89.0	3480.31250000001
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 205)	G. std 15.63uM glu 1.57uM PEP	Lactate 90/90	90.0 / 90.0	405.099999999997
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 205)	G. std 15.63uM glu 1.57uM PEP	Lactate 91/91	91.0 / 91.0	922.625
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 205)	G. std 15.63uM glu 1.57uM PEP	Lactate 92/92	92.0 / 92.0	315.124999999999
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 206)	H. std 0	taurine	124.0 / 80.0	120.025
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 206)	H. std 0	D4-taurine	128.0 / 80.0	207034.05
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 206)	H. std 0	Pyruvate 87/87	87.0 / 87.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 206)	H. std 0	Pyruvate 88/88	88.0 / 88.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 206)	H. std 0	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 206)	H. std 0	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 206)	H. std 0	Lactate 89/89	89.0 / 89.0	2640.55000000001
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 206)	H. std 0	Lactate 90/90	90.0 / 90.0	495.087499999998
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 206)	H. std 0	Lactate 91/91	91.0 / 91.0	810.000000000001
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 206)	H. std 0	Lactate 92/92	92.0 / 92.0	330.062499999998
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 207)	A. std 1mm glu 100uM PEP	taurine	124.0 / 80.0	105
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 207)	A. std 1mm glu 100uM PEP	D4-taurine	128.0 / 80.0	144089.275
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 207)	A. std 1mm glu 100uM PEP	Pyruvate 87/87	87.0 / 87.0	740850.307734153
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 207)	A. std 1mm glu 100uM PEP	Pyruvate 88/88	88.0 / 88.0	25780.8028998336
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 207)	A. std 1mm glu 100uM PEP	Pyruvate 89/89	89.0 / 89.0	7478.4786774068
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 207)	A. std 1mm glu 100uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 207)	A. std 1mm glu 100uM PEP	Lactate 89/89	89.0 / 89.0	7366.52499999999
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 207)	A. std 1mm glu 100uM PEP	Lactate 90/90	90.0 / 90.0	420
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 207)	A. std 1mm glu 100uM PEP	Lactate 91/91	91.0 / 91.0	1192.7
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 207)	A. std 1mm glu 100uM PEP	Lactate 92/92	92.0 / 92.0	510.075
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 208)	B. std 500uM glu 50uM PEP	taurine	124.0 / 80.0	105.0375
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 208)	B. std 500uM glu 50uM PEP	D4-taurine	128.0 / 80.0	221924.375
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 208)	B. std 500uM glu 50uM PEP	Pyruvate 87/87	87.0 / 87.0	372867.131520157
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 208)	B. std 500uM glu 50uM PEP	Pyruvate 88/88	88.0 / 88.0	11806.5464304602
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 208)	B. std 500uM glu 50uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 208)	B. std 500uM glu 50uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 208)	B. std 500uM glu 50uM PEP	Lactate 89/89	89.0 / 89.0	39036.5625
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 208)	B. std 500uM glu 50uM PEP	Lactate 90/90	90.0 / 90.0	1320.225
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 208)	B. std 500uM glu 50uM PEP	Lactate 91/91	91.0 / 91.0	847.624999999999
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 208)	B. std 500uM glu 50uM PEP	Lactate 92/92	92.0 / 92.0	390.0875
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 209)	C. std 250uM glu 25uM PEP	taurine	124.0 / 80.0	75.0000000000001
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 209)	C. std 250uM glu 25uM PEP	D4-taurine	128.0 / 80.0	217994.9125
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 209)	C. std 250uM glu 25uM PEP	Pyruvate 87/87	87.0 / 87.0	223498.488518812
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 209)	C. std 250uM glu 25uM PEP	Pyruvate 88/88	88.0 / 88.0	11815.4161910043
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 209)	C. std 250uM glu 25uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 209)	C. std 250uM glu 25uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
