Original Filename	Sample Name	Component Name	Mass Info	Area
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 218)	B. std 500uM glu 50uM PEP	D4-taurine	128.0 / 80.0	34506.6625
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 218)	B. std 500uM glu 50uM PEP	Pyruvate 87/87	87.0 / 87.0	716231.213390488
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 218)	B. std 500uM glu 50uM PEP	Pyruvate 88/88	88.0 / 88.0	26607.1875
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 218)	B. std 500uM glu 50uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 218)	B. std 500uM glu 50uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 218)	B. std 500uM glu 50uM PEP	Lactate 89/89	89.0 / 89.0	405381.65
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 218)	B. std 500uM glu 50uM PEP	Lactate 90/90	90.0 / 90.0	23360.1067036003
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 218)	B. std 500uM glu 50uM PEP	Lactate 91/91	91.0 / 91.0	4920.87499999999
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 218)	B. std 500uM glu 50uM PEP	Lactate 92/92	92.0 / 92.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 219)	C. std 250uM glu 25uM PEP	taurine	124.0 / 80.0	150
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 219)	C. std 250uM glu 25uM PEP	D4-taurine	128.0 / 80.0	71953.0000000001
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 219)	C. std 250uM glu 25uM PEP	Pyruvate 87/87	87.0 / 87.0	472626.771595974
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 219)	C. std 250uM glu 25uM PEP	Pyruvate 88/88	88.0 / 88.0	14862.1842117031
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 219)	C. std 250uM glu 25uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 219)	C. std 250uM glu 25uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 219)	C. std 250uM glu 25uM PEP	Lactate 89/89	89.0 / 89.0	234560.75
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 219)	C. std 250uM glu 25uM PEP	Lactate 90/90	90.0 / 90.0	13067.325
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 219)	C. std 250uM glu 25uM PEP	Lactate 91/91	91.0 / 91.0	2584.84256324364
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 219)	C. std 250uM glu 25uM PEP	Lactate 92/92	92.0 / 92.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 220)	D. std 125uM glu 12.5uM PEP	taurine	124.0 / 80.0	195.025
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 220)	D. std 125uM glu 12.5uM PEP	D4-taurine	128.0 / 80.0	106446.75
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 220)	D. std 125uM glu 12.5uM PEP	Pyruvate 87/87	87.0 / 87.0	257680.661482842
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 220)	D. std 125uM glu 12.5uM PEP	Pyruvate 88/88	88.0 / 88.0	7835.25121593532
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 220)	D. std 125uM glu 12.5uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 220)	D. std 125uM glu 12.5uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 220)	D. std 125uM glu 12.5uM PEP	Lactate 89/89	89.0 / 89.0	118637.95
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 220)	D. std 125uM glu 12.5uM PEP	Lactate 90/90	90.0 / 90.0	9466.5875
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 220)	D. std 125uM glu 12.5uM PEP	Lactate 91/91	91.0 / 91.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 220)	D. std 125uM glu 12.5uM PEP	Lactate 92/92	92.0 / 92.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 221)	E. std 62.5uM glu 6.25uM PEP	taurine	124.0 / 80.0	105
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 221)	E. std 62.5uM glu 6.25uM PEP	D4-taurine	128.0 / 80.0	150730.225
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 221)	E. std 62.5uM glu 6.25uM PEP	Pyruvate 87/87	87.0 / 87.0	130143.000817288
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 221)	E. std 62.5uM glu 6.25uM PEP	Pyruvate 88/88	88.0 / 88.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 221)	E. std 62.5uM glu 6.25uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 221)	E. std 62.5uM glu 6.25uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 221)	E. std 62.5uM glu 6.25uM PEP	Lactate 89/89	89.0 / 89.0	73217.125
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 221)	E. std 62.5uM glu 6.25uM PEP	Lactate 90/90	90.0 / 90.0	2865.275
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 221)	E. std 62.5uM glu 6.25uM PEP	Lactate 91/91	91.0 / 91.0	810.024999999999
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 221)	E. std 62.5uM glu 6.25uM PEP	Lactate 92/92	92.0 / 92.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 222)	F. std 31.25uM glu 3.13uM PEP	taurine	124.0 / 80.0	150
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 222)	F. std 31.25uM glu 3.13uM PEP	D4-taurine	128.0 / 80.0	178206.4875
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 222)	F. std 31.25uM glu 3.13uM PEP	Pyruvate 87/87	87.0 / 87.0	54535.9545390072
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 222)	F. std 31.25uM glu 3.13uM PEP	Pyruvate 88/88	88.0 / 88.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 222)	F. std 31.25uM glu 3.13uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 222)	F. std 31.25uM glu 3.13uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 222)	F. std 31.25uM glu 3.13uM PEP	Lactate 89/89	89.0 / 89.0	29450.15
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 222)	F. std 31.25uM glu 3.13uM PEP	Lactate 90/90	90.0 / 90.0	3107.11380764796
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 222)	F. std 31.25uM glu 3.13uM PEP	Lactate 91/91	91.0 / 91.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 222)	F. std 31.25uM glu 3.13uM PEP	Lactate 92/92	92.0 / 92.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 223)	G. std 15.63uM glu 1.57uM PEP	taurine	124.0 / 80.0	135.025
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 223)	G. std 15.63uM glu 1.57uM PEP	D4-taurine	128.0 / 80.0	212390.0875
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 223)	G. std 15.63uM glu 1.57uM PEP	Pyruvate 87/87	87.0 / 87.0	34019.3734021738
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 223)	G. std 15.63uM glu 1.57uM PEP	Pyruvate 88/88	88.0 / 88.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 223)	G. std 15.63uM glu 1.57uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 223)	G. std 15.63uM glu 1.57uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 223)	G. std 15.63uM glu 1.57uM PEP	Lactate 89/89	89.0 / 89.0	17208.8375
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 223)	G. std 15.63uM glu 1.57uM PEP	Lactate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 223)	G. std 15.63uM glu 1.57uM PEP	Lactate 91/91	91.0 / 91.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 223)	G. std 15.63uM glu 1.57uM PEP	Lactate 92/92	92.0 / 92.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 224)	H. std 0	taurine	124.0 / 80.0	105.0625
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 224)	H. std 0	D4-taurine	128.0 / 80.0	255543.55
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 224)	H. std 0	Pyruvate 87/87	87.0 / 87.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 224)	H. std 0	Pyruvate 88/88	88.0 / 88.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 224)	H. std 0	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 224)	H. std 0	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 224)	H. std 0	Lactate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 224)	H. std 0	Lactate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 224)	H. std 0	Lactate 91/91	91.0 / 91.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 224)	H. std 0	Lactate 92/92	92.0 / 92.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 225)	A. std 1mm glu 100uM PEP (pyr)	taurine	124.0 / 80.0	105
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 225)	A. std 1mm glu 100uM PEP (pyr)	D4-taurine	128.0 / 80.0	45.0249999999999
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 225)	A. std 1mm glu 100uM PEP (pyr)	Pyruvate 87/87	87.0 / 87.0	1373315.81558308
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 225)	A. std 1mm glu 100uM PEP (pyr)	Pyruvate 88/88	88.0 / 88.0	49192.5888250477
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 225)	A. std 1mm glu 100uM PEP (pyr)	Pyruvate 89/89	89.0 / 89.0	7842.72099479804
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 225)	A. std 1mm glu 100uM PEP (pyr)	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 225)	A. std 1mm glu 100uM PEP (pyr)	Lactate 89/89	89.0 / 89.0	833600.858518145
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 225)	A. std 1mm glu 100uM PEP (pyr)	Lactate 90/90	90.0 / 90.0	50633.425
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 225)	A. std 1mm glu 100uM PEP (pyr)	Lactate 91/91	91.0 / 91.0	12370.0230473621
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 225)	A. std 1mm glu 100uM PEP (pyr)	Lactate 92/92	92.0 / 92.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 226)	B. std 500uM glu 50uM PEP	taurine	124.0 / 80.0	195.025
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 226)	B. std 500uM glu 50uM PEP	D4-taurine	128.0 / 80.0	33110.775
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 226)	B. std 500uM glu 50uM PEP	Pyruvate 87/87	87.0 / 87.0	602597.949026246
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 226)	B. std 500uM glu 50uM PEP	Pyruvate 88/88	88.0 / 88.0	26006.5550377776
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 226)	B. std 500uM glu 50uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 226)	B. std 500uM glu 50uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 226)	B. std 500uM glu 50uM PEP	Lactate 89/89	89.0 / 89.0	348427.1
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 226)	B. std 500uM glu 50uM PEP	Lactate 90/90	90.0 / 90.0	22811.55
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 226)	B. std 500uM glu 50uM PEP	Lactate 91/91	91.0 / 91.0	5926.15
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 226)	B. std 500uM glu 50uM PEP	Lactate 92/92	92.0 / 92.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 227)	C. std 250uM glu 25uM PEP	taurine	124.0 / 80.0	195
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 227)	C. std 250uM glu 25uM PEP	D4-taurine	128.0 / 80.0	75929.3375000001
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 227)	C. std 250uM glu 25uM PEP	Pyruvate 87/87	87.0 / 87.0	411139.25
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 227)	C. std 250uM glu 25uM PEP	Pyruvate 88/88	88.0 / 88.0	14304.7875
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 227)	C. std 250uM glu 25uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 227)	C. std 250uM glu 25uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 227)	C. std 250uM glu 25uM PEP	Lactate 89/89	89.0 / 89.0	236799.4
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 227)	C. std 250uM glu 25uM PEP	Lactate 90/90	90.0 / 90.0	13127.4375
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 227)	C. std 250uM glu 25uM PEP	Lactate 91/91	91.0 / 91.0	2172.79853905073
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 227)	C. std 250uM glu 25uM PEP	Lactate 92/92	92.0 / 92.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 228)	D. std 125uM glu 12.5uM PEP	taurine	124.0 / 80.0	210
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 228)	D. std 125uM glu 12.5uM PEP	D4-taurine	128.0 / 80.0	107203.325
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 228)	D. std 125uM glu 12.5uM PEP	Pyruvate 87/87	87.0 / 87.0	237748.59359339
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 228)	D. std 125uM glu 12.5uM PEP	Pyruvate 88/88	88.0 / 88.0	8249.73804063491
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 228)	D. std 125uM glu 12.5uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 228)	D. std 125uM glu 12.5uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 228)	D. std 125uM glu 12.5uM PEP	Lactate 89/89	89.0 / 89.0	132163.2
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 228)	D. std 125uM glu 12.5uM PEP	Lactate 90/90	90.0 / 90.0	6533.3875
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 228)	D. std 125uM glu 12.5uM PEP	Lactate 91/91	91.0 / 91.0	2070.3375
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 228)	D. std 125uM glu 12.5uM PEP	Lactate 92/92	92.0 / 92.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 229)	E. std 62.5uM glu 6.25uM PEP	taurine	124.0 / 80.0	90.0249999999994
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 229)	E. std 62.5uM glu 6.25uM PEP	D4-taurine	128.0 / 80.0	153572.1125
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 229)	E. std 62.5uM glu 6.25uM PEP	Pyruvate 87/87	87.0 / 87.0	122258.544988824
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 229)	E. std 62.5uM glu 6.25uM PEP	Pyruvate 88/88	88.0 / 88.0	4475.95301080433
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 229)	E. std 62.5uM glu 6.25uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 229)	E. std 62.5uM glu 6.25uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 229)	E. std 62.5uM glu 6.25uM PEP	Lactate 89/89	89.0 / 89.0	69117.3625
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 229)	E. std 62.5uM glu 6.25uM PEP	Lactate 90/90	90.0 / 90.0	4095.675
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 229)	E. std 62.5uM glu 6.25uM PEP	Lactate 91/91	91.0 / 91.0	1822.75
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 229)	E. std 62.5uM glu 6.25uM PEP	Lactate 92/92	92.0 / 92.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 230)	F. std 31.25uM glu 3.13uM PEP	taurine	124.0 / 80.0	150
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 230)	F. std 31.25uM glu 3.13uM PEP	D4-taurine	128.0 / 80.0	193839.125
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 230)	F. std 31.25uM glu 3.13uM PEP	Pyruvate 87/87	87.0 / 87.0	64928.4716988979
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 230)	F. std 31.25uM glu 3.13uM PEP	Pyruvate 88/88	88.0 / 88.0	3321.28657236173
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 230)	F. std 31.25uM glu 3.13uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 230)	F. std 31.25uM glu 3.13uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 230)	F. std 31.25uM glu 3.13uM PEP	Lactate 89/89	89.0 / 89.0	38450.3625
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 230)	F. std 31.25uM glu 3.13uM PEP	Lactate 90/90	90.0 / 90.0	2790.4125
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 230)	F. std 31.25uM glu 3.13uM PEP	Lactate 91/91	91.0 / 91.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 230)	F. std 31.25uM glu 3.13uM PEP	Lactate 92/92	92.0 / 92.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 231)	G. std 15.63uM glu 1.57uM PEP	taurine	124.0 / 80.0	150.05
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 231)	G. std 15.63uM glu 1.57uM PEP	D4-taurine	128.0 / 80.0	217439.725
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 231)	G. std 15.63uM glu 1.57uM PEP	Pyruvate 87/87	87.0 / 87.0	37552.5169042181
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 231)	G. std 15.63uM glu 1.57uM PEP	Pyruvate 88/88	88.0 / 88.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 231)	G. std 15.63uM glu 1.57uM PEP	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 231)	G. std 15.63uM glu 1.57uM PEP	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 231)	G. std 15.63uM glu 1.57uM PEP	Lactate 89/89	89.0 / 89.0	28174.5625
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 231)	G. std 15.63uM glu 1.57uM PEP	Lactate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 231)	G. std 15.63uM glu 1.57uM PEP	Lactate 91/91	91.0 / 91.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 231)	G. std 15.63uM glu 1.57uM PEP	Lactate 92/92	92.0 / 92.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 232)	H. std 0	taurine	124.0 / 80.0	150.025
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 232)	H. std 0	D4-taurine	128.0 / 80.0	261342.475
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 232)	H. std 0	Pyruvate 87/87	87.0 / 87.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 232)	H. std 0	Pyruvate 88/88	88.0 / 88.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 232)	H. std 0	Pyruvate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 232)	H. std 0	Pyruvate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 232)	H. std 0	Lactate 89/89	89.0 / 89.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 232)	H. std 0	Lactate 90/90	90.0 / 90.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 232)	H. std 0	Lactate 91/91	91.0 / 91.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 232)	H. std 0	Lactate 92/92	92.0 / 92.0	N/A
TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 233)	A. std 1mm glu 100uM PEP (pyr)	taurine	124.0 / 80.0	135
