Original Filename	Sample Name	Glucose Concentration	Time	Component Name	Mass Info	Area	Modified
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Malate 136/118	136.0 / 118.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Malate 137/119	137.0 / 119.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 146/102	146.0 / 102.0	1024048.5	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 147/102	147.0 / 102.0	21442.576	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 147/103	147.0 / 103.0	113226.2745	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 148/104	148.0 / 104.0	14507.917	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 148/103	148.0 / 103.0	1155.5	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 149/105	149.0 / 105.0	1669.742	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 149/104	149.0 / 104.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 150/106	150.0 / 106.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 150/105	150.0 / 105.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 151/106	151.0 / 106.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 146/41	146.0 / 41.0	45057.0155	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 147/41	147.0 / 41.0	1155.5335	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 147/42	147.0 / 42.0	641.258	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 148/41	148.0 / 41.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 148/42	148.0 / 42.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 148/43	148.0 / 43.0	128.8898813	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 149/41	149.0 / 41.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 149/42	149.0 / 42.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 149/43	149.0 / 43.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 150/42	150.0 / 42.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 150/43	150.0 / 43.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 151/43	151.0 / 43.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 146/128	146.0 / 128.0	2187095.976	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 147/129	147.0 / 129.0	146867.575	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 148/130	148.0 / 130.0	17332.859	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 149/131	149.0 / 131.0	641.358	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 150/132	150.0 / 132.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 68)"	A. [13C-glc] G2.5 0min	G2.5	0min	Glutamate 151/133	151.0 / 133.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	taurine	124.0 / 80.0	456085.483	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	D4-taurine	128.0 / 80.0	897.283	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	PEP 167/79	167.0 / 79.0	28369.458	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	PEP 168/79	168.0 / 79.0	4879.4505	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	PEP 169/79	169.0 / 79.0	1004.82412	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	PEP 170/79	170.0 / 79.0	8218.3675	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Aspartate 132/88	132.0 / 88.0	79979.817	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Aspartate 133/88	133.0 / 88.0	3081.1335	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Aspartate 133/89	133.0 / 89.0	10525.583	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Aspartate 134/90	134.0 / 90.0	1026.3915	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Aspartate 134/89	134.0 / 89.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Aspartate 135/91	135.0 / 91.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Aspartate 135/90	135.0 / 90.0	N/A	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Aspartate 136/91	136.0 / 91.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	3PG 185/79	185.0 / 79.0	3337.225	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	3PG 186/79	186.0 / 79.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	3PG 187/79	187.0 / 79.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	3PG 188/79	188.0 / 79.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	2PG 185/79	185.0 / 79.0	11682.442	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	2PG 186/79	186.0 / 79.0	1155.3665	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	2PG 187/79	187.0 / 79.0	1413.517	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	2PG 188/79	188.0 / 79.0	1794.6325	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Malate 133/115	133.0 / 115.0	214637.2985	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Malate 134/116	134.0 / 116.0	19513.8505	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Malate 135/117	135.0 / 117.0	5647.7915	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Malate 136/118	136.0 / 118.0	1397.99472	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Malate 137/119	137.0 / 119.0	N/A	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 146/102	146.0 / 102.0	571016.358	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 147/102	147.0 / 102.0	10783.5335	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 147/103	147.0 / 103.0	61751.8675	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 148/104	148.0 / 104.0	7958.5915	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 148/103	148.0 / 103.0	18484.0745	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 149/105	149.0 / 105.0	770.2665	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 149/104	149.0 / 104.0	1028.3505	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 150/106	150.0 / 106.0	258.0505	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 150/105	150.0 / 105.0	258.017	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 151/106	151.0 / 106.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 146/41	146.0 / 41.0	22722.4665	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 147/41	147.0 / 41.0	1285.433733	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 147/42	147.0 / 42.0	501.9891826	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 148/41	148.0 / 41.0	641.258	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 148/42	148.0 / 42.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 148/43	148.0 / 43.0	258.0505	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 149/41	149.0 / 41.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 149/42	149.0 / 42.0	253.8954741	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 149/43	149.0 / 43.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 150/42	150.0 / 42.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 150/43	150.0 / 43.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 151/43	151.0 / 43.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 146/128	146.0 / 128.0	1415090.675	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 147/129	147.0 / 129.0	89991.358	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 148/130	148.0 / 130.0	32606.8915	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 149/131	149.0 / 131.0	2052.7495	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 150/132	150.0 / 132.0	643.117	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 69)"	B. [13C-glc] G2.5 5min	G2.5	5min	Glutamate 151/133	151.0 / 133.0	N/A	TRUE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	taurine	124.0 / 80.0	547864.4405	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	D4-taurine	128.0 / 80.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	PEP 167/79	167.0 / 79.0	15916.9495	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	PEP 168/79	168.0 / 79.0	6545.241	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	PEP 169/79	169.0 / 79.0	641.225	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	PEP 170/79	170.0 / 79.0	9115.817	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	Aspartate 132/88	132.0 / 88.0	103600.9335	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	Aspartate 133/88	133.0 / 88.0	2310.6665	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	Aspartate 133/89	133.0 / 89.0	8858.0335	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	Aspartate 134/90	134.0 / 90.0	2953.8505	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	Aspartate 134/89	134.0 / 89.0	2567.0915	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	Aspartate 135/91	135.0 / 91.0	514.2085	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	Aspartate 135/90	135.0 / 90.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	Aspartate 136/91	136.0 / 91.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	3PG 185/79	185.0 / 79.0	2052.6495	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	3PG 186/79	186.0 / 79.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	3PG 187/79	187.0 / 79.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	3PG 188/79	188.0 / 79.0	1284.3085	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	2PG 185/79	185.0 / 79.0	7444.783	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	2PG 186/79	186.0 / 79.0	1282.5495	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	2PG 187/79	187.0 / 79.0	385.1	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	2PG 188/79	188.0 / 79.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	Malate 133/115	133.0 / 115.0	256870.441	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	Malate 134/116	134.0 / 116.0	24776.342	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	Malate 135/117	135.0 / 117.0	15019.7335	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	Malate 136/118	136.0 / 118.0	3464.0745	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	Malate 137/119	137.0 / 119.0	N/A	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	Glutamate 146/102	146.0 / 102.0	492449.876	FALSE
"TA_13C-glucose with varying [glc]_2Sept13 G2.5, 5, 7.wiff (sample 70)"	C. [13C-glc] G2.5 15min	G2.5	15min	Glutamate 147/102	147.0 / 102.0	10783.4	FALSE
