Original Filename	Sample Name	Glucose Concentrations	Time	Component Name	Mass Info	Area	Modified
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Malate 137/119	137.0 / 119.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 146/102	146.0 / 102.0	2509516.154	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 147/102	147.0 / 102.0	53275.3085	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 147/103	147.0 / 103.0	269583.259	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 148/104	148.0 / 104.0	29016.993	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 148/103	148.0 / 103.0	3978.1495	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 149/105	149.0 / 105.0	2568.6505	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 149/104	149.0 / 104.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 150/106	150.0 / 106.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 150/105	150.0 / 105.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 151/106	151.0 / 106.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 146/41	146.0 / 41.0	89856.6985	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 147/41	147.0 / 41.0	3980.342	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 147/42	147.0 / 42.0	2310.7665	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 148/41	148.0 / 41.0	897.3495	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 148/42	148.0 / 42.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 148/43	148.0 / 43.0	252.9863745	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 149/41	149.0 / 41.0	N/A	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 149/42	149.0 / 42.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 149/43	149.0 / 43.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 150/42	150.0 / 42.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 150/43	150.0 / 43.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 151/43	151.0 / 43.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 146/128	146.0 / 128.0	5213518.354	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 147/129	147.0 / 129.0	326459.117	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 148/130	148.0 / 130.0	50580.875	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 149/131	149.0 / 131.0	3466.2	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 150/132	150.0 / 132.0	N/A	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 140)	A. [13C-glc] G9 0min	G9	0min	Glutamate 151/133	151.0 / 133.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	taurine	124.0 / 80.0	578678.217	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	D4-taurine	128.0 / 80.0	142230.9085	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	PEP 167/79	167.0 / 79.0	30681.817	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	PEP 168/79	168.0 / 79.0	12323.7665	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	PEP 169/79	169.0 / 79.0	4236.2335	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	PEP 170/79	170.0 / 79.0	94607.266	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Aspartate 132/88	132.0 / 88.0	27342.341	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Aspartate 133/88	133.0 / 88.0	126.4537761	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Aspartate 133/89	133.0 / 89.0	2625.873026	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Aspartate 134/90	134.0 / 90.0	643.1505	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Aspartate 134/89	134.0 / 89.0	385.1665	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Aspartate 135/91	135.0 / 91.0	1796.758	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Aspartate 135/90	135.0 / 90.0	768.341	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Aspartate 136/91	136.0 / 91.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	3PG 185/79	185.0 / 79.0	2183.7505	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	3PG 186/79	186.0 / 79.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	3PG 187/79	187.0 / 79.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	3PG 188/79	188.0 / 79.0	2566.6915	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	2PG 185/79	185.0 / 79.0	11426.8505	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	2PG 186/79	186.0 / 79.0	1796.758	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	2PG 187/79	187.0 / 79.0	772.159	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	2PG 188/79	188.0 / 79.0	16110.5455	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Malate 133/115	133.0 / 115.0	392186.5165	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Malate 134/116	134.0 / 116.0	29783.3085	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Malate 135/117	135.0 / 117.0	9756.875	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Malate 136/118	136.0 / 118.0	27602.017	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Malate 137/119	137.0 / 119.0	N/A	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 146/102	146.0 / 102.0	1936244.958	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 147/102	147.0 / 102.0	34402.6495	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 147/103	147.0 / 103.0	198717.3745	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 148/104	148.0 / 104.0	36332.5675	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 148/103	148.0 / 103.0	101542.5915	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 149/105	149.0 / 105.0	2695.7335	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 149/104	149.0 / 104.0	5133.6495	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 150/106	150.0 / 106.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 150/105	150.0 / 105.0	2697.7255	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 151/106	151.0 / 106.0	1411.4915	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 146/41	146.0 / 41.0	72016.041	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 147/41	147.0 / 41.0	3466.2	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 147/42	147.0 / 42.0	2181.758	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 148/41	148.0 / 41.0	514.1085	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 148/42	148.0 / 42.0	125.3937668	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 148/43	148.0 / 43.0	2312.559	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 149/41	149.0 / 41.0	385.1	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 149/42	149.0 / 42.0	126.4605023	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 149/43	149.0 / 43.0	258.017	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 150/42	150.0 / 42.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 150/43	150.0 / 43.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 151/43	151.0 / 43.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 146/128	146.0 / 128.0	4131809.376	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 147/129	147.0 / 129.0	252385.075	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 148/130	148.0 / 130.0	130304.334	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 149/131	149.0 / 131.0	6034.817	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 150/132	150.0 / 132.0	5391.593135	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 141)	B. [13C-glc] G9 5min	G9	5min	Glutamate 151/133	151.0 / 133.0	1774.709523	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	taurine	124.0 / 80.0	520270.1	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	D4-taurine	128.0 / 80.0	130419.9915	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	PEP 167/79	167.0 / 79.0	24005.8085	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	PEP 168/79	168.0 / 79.0	14507.0505	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	PEP 169/79	169.0 / 79.0	5520.8085	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	PEP 170/79	170.0 / 79.0	109243.625	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Aspartate 132/88	132.0 / 88.0	24521.217	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Aspartate 133/88	133.0 / 88.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Aspartate 133/89	133.0 / 89.0	1459.924915	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Aspartate 134/90	134.0 / 90.0	3081.0335	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Aspartate 134/89	134.0 / 89.0	1026.458	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Aspartate 135/91	135.0 / 91.0	5906.142	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Aspartate 135/90	135.0 / 90.0	2568.7835	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Aspartate 136/91	136.0 / 91.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	3PG 185/79	185.0 / 79.0	1925.6335	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	3PG 186/79	186.0 / 79.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	3PG 187/79	187.0 / 79.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	3PG 188/79	188.0 / 79.0	3466.2335	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	2PG 185/79	185.0 / 79.0	7831.7085	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	2PG 186/79	186.0 / 79.0	1026.358	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	2PG 187/79	187.0 / 79.0	770.2	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	2PG 188/79	188.0 / 79.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Malate 133/115	133.0 / 115.0	403093.6505	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Malate 134/116	134.0 / 116.0	24008.234	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Malate 135/117	135.0 / 117.0	36457.0915	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Malate 136/118	136.0 / 118.0	78304.1575	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Malate 137/119	137.0 / 119.0	5776.7	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 146/102	146.0 / 102.0	1288992.541	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 147/102	147.0 / 102.0	30039.4	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 147/103	147.0 / 103.0	137234.042	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 148/104	148.0 / 104.0	68427.8425	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 148/103	148.0 / 103.0	335507.003	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 149/105	149.0 / 105.0	11553.6335	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 149/104	149.0 / 104.0	21309.4495	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 150/106	150.0 / 106.0	2826.9675	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 150/105	150.0 / 105.0	35173.2165	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 151/106	151.0 / 106.0	20411.5665	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 146/41	146.0 / 41.0	49040.7085	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 147/41	147.0 / 41.0	1796.5915	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 147/42	147.0 / 42.0	1413.4505	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 148/41	148.0 / 41.0	897.3495	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 148/42	148.0 / 42.0	N/A	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 148/43	148.0 / 43.0	5775.308	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 149/41	149.0 / 41.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 149/42	149.0 / 42.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 149/43	149.0 / 43.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 150/42	150.0 / 42.0	N/A	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 150/43	150.0 / 43.0	1026.458	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 151/43	151.0 / 43.0	249.9998788	TRUE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 146/128	146.0 / 128.0	2846254.191	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 147/129	147.0 / 129.0	192181.0335	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 148/130	148.0 / 130.0	403491.925	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 149/131	149.0 / 131.0	30039.6	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 150/132	150.0 / 132.0	36202.9665	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 142)	C. [13C-glc] G9 15min	G9	15min	Glutamate 151/133	151.0 / 133.0	16304.342	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 143)	D. [13C-glc] G9 30min	G9	30min	taurine	124.0 / 80.0	548384.3255	FALSE
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 143)	D. [13C-glc] G9 30min	G9	30min	D4-taurine	128.0 / 80.0	147108.2	FALSE
