Original Filename	Sample Name	Component Name	Mass Info	Area	Modified
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Aspartate 133/88	133.0 / 88.0	256.091500000001	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Aspartate 133/89	133.0 / 89.0	3819.51696666567	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Aspartate 134/90	134.0 / 90.0	770.2665	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Aspartate 134/89	134.0 / 89.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Aspartate 135/91	135.0 / 91.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Aspartate 135/90	135.0 / 90.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Aspartate 136/91	136.0 / 91.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	3PG 185/79	185.0 / 79.0	641.191499999999	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	3PG 186/79	186.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	3PG 187/79	187.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	3PG 188/79	188.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	2PG 185/79	185.0 / 79.0	770.2	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	2PG 186/79	186.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	2PG 187/79	187.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	2PG 188/79	188.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Malate 133/115	133.0 / 115.0	622984.3225	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Malate 134/116	134.0 / 116.0	46474.6425	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Malate 135/117	135.0 / 117.0	8988.86750000001	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Malate 136/118	136.0 / 118.0	643.1505	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Malate 137/119	137.0 / 119.0	377.88094334508	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 146/102	146.0 / 102.0	314382.524	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 147/102	147.0 / 102.0	4494.15050000001	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 147/103	147.0 / 103.0	26571.208	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 148/104	148.0 / 104.0	6288.78300000001	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 148/103	148.0 / 103.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 149/105	149.0 / 105.0	258.017	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 149/104	149.0 / 104.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 150/106	150.0 / 106.0	258.0505	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 150/105	150.0 / 105.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 151/106	151.0 / 106.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 146/41	146.0 / 41.0	14503.3325	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 147/41	147.0 / 41.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 147/42	147.0 / 42.0	514.108500000001	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 148/41	148.0 / 41.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 148/42	148.0 / 42.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 148/43	148.0 / 43.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 149/41	149.0 / 41.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 149/42	149.0 / 42.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 149/43	149.0 / 43.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 150/42	150.0 / 42.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 150/43	150.0 / 43.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 151/43	151.0 / 43.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 146/128	146.0 / 128.0	1015174.996	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 147/129	147.0 / 129.0	62389.6335	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 148/130	148.0 / 130.0	7315.508	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 149/131	149.0 / 131.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 150/132	150.0 / 132.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 109)	B. std 500uM glu 50uM PEP	Glutamate 151/133	151.0 / 133.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	taurine	124.0 / 80.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	D4-taurine	128.0 / 80.0	47111.2085	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	PEP 167/79	167.0 / 79.0	152894.749	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	PEP 168/79	168.0 / 79.0	5906.0085	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	PEP 169/79	169.0 / 79.0	641.191500000002	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	PEP 170/79	170.0 / 79.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Aspartate 132/88	132.0 / 88.0	20667.858	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Aspartate 133/88	133.0 / 88.0	385.133500000001	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Aspartate 133/89	133.0 / 89.0	3080.9335	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Aspartate 134/90	134.0 / 90.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Aspartate 134/89	134.0 / 89.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Aspartate 135/91	135.0 / 91.0	258.017	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Aspartate 135/90	135.0 / 90.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Aspartate 136/91	136.0 / 91.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	3PG 185/79	185.0 / 79.0	514.2085	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	3PG 186/79	186.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	3PG 187/79	187.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	3PG 188/79	188.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	2PG 185/79	185.0 / 79.0	899.342	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	2PG 186/79	186.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	2PG 187/79	187.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	2PG 188/79	188.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Malate 133/115	133.0 / 115.0	450332.179	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Malate 134/116	134.0 / 116.0	29139.8915	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Malate 135/117	135.0 / 117.0	7446.3085	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Malate 136/118	136.0 / 118.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Malate 137/119	137.0 / 119.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 146/102	146.0 / 102.0	177158.259	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 147/102	147.0 / 102.0	5262.725	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 147/103	147.0 / 103.0	24647.6	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 148/104	148.0 / 104.0	3337.0915	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 148/103	148.0 / 103.0	1284.3085	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 149/105	149.0 / 105.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 149/104	149.0 / 104.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 150/106	150.0 / 106.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 150/105	150.0 / 105.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 151/106	151.0 / 106.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 146/41	146.0 / 41.0	8472.60000000001	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 147/41	147.0 / 41.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 147/42	147.0 / 42.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 148/41	148.0 / 41.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 148/42	148.0 / 42.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 148/43	148.0 / 43.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 149/41	149.0 / 41.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 149/42	149.0 / 42.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 149/43	149.0 / 43.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 150/42	150.0 / 42.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 150/43	150.0 / 43.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 151/43	151.0 / 43.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 146/128	146.0 / 128.0	607032.0505	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 147/129	147.0 / 129.0	35177.6675	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 148/130	148.0 / 130.0	6805.117	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 149/131	149.0 / 131.0	1026.325	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 150/132	150.0 / 132.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 110)	C. std 250uM glu 25uM PEP	Glutamate 151/133	151.0 / 133.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 111)	D. std 125uM glu 12.5uM PEP	taurine	124.0 / 80.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 111)	D. std 125uM glu 12.5uM PEP	D4-taurine	128.0 / 80.0	53145.859	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 111)	D. std 125uM glu 12.5uM PEP	PEP 167/79	167.0 / 79.0	63031.7915	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 111)	D. std 125uM glu 12.5uM PEP	PEP 168/79	168.0 / 79.0	1026.458	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 111)	D. std 125uM glu 12.5uM PEP	PEP 169/79	169.0 / 79.0	643.117	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 111)	D. std 125uM glu 12.5uM PEP	PEP 170/79	170.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 111)	D. std 125uM glu 12.5uM PEP	Aspartate 132/88	132.0 / 88.0	10142.5085	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 111)	D. std 125uM glu 12.5uM PEP	Aspartate 133/88	133.0 / 88.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 111)	D. std 125uM glu 12.5uM PEP	Aspartate 133/89	133.0 / 89.0	2441.7675	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 111)	D. std 125uM glu 12.5uM PEP	Aspartate 134/90	134.0 / 90.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 111)	D. std 125uM glu 12.5uM PEP	Aspartate 134/89	134.0 / 89.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 111)	D. std 125uM glu 12.5uM PEP	Aspartate 135/91	135.0 / 91.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 111)	D. std 125uM glu 12.5uM PEP	Aspartate 135/90	135.0 / 90.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 111)	D. std 125uM glu 12.5uM PEP	Aspartate 136/91	136.0 / 91.0	N/A	True
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 111)	D. std 125uM glu 12.5uM PEP	3PG 185/79	185.0 / 79.0	514.108500000001	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 111)	D. std 125uM glu 12.5uM PEP	3PG 186/79	186.0 / 79.0	N/A	False
TA_13C-glucose with varying [glc]_2Sept13.wiff (sample 111)	D. std 125uM glu 12.5uM PEP	3PG 187/79	187.0 / 79.0	N/A	False
